player_name,matches_bat,innings,not_outs,runs,balls_faced,bat_avg,bat_sr,hundreds,fifties,fours,sixes,matches_bowl,overs,balls_bowled,runs_conceded,wickets,bowl_avg,economy,bowl_sr,four_wickets,five_wickets
Adnan Ilyas,2.0,2.0,0.0,17.0,20.0,8.5,85.0,0.0,0.0,2.0,0.0,,,,,,,,,,
Afif Hossain,13.0,13.0,2.0,149.0,126.0,13.55,118.25,0.0,0.0,13.0,3.0,3.0,3.0,18.0,36.0,1.0,36.0,12.0,18.0,0.0,0.0
Ahmed Raza,,,,,,,,,,,,1.0,1.0,6.0,9.0,0.0,,9.0,,0.0,0.0
Ahmed Shehzad,4.0,4.0,0.0,108.0,105.0,27.0,102.86,0.0,1.0,14.0,0.0,,,,,,,,,,
Ahsan Malik,,,,,,,,,,,,1.0,1.0,6.0,10.0,0.0,,10.0,,0.0,0.0
Aizaz Khan,1.0,1.0,1.0,7.0,4.0,,175.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,11.0,1.0,11.0,11.0,6.0,0.0,0.0
Al-Amin Hossain,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,18.33,110.0,161.0,8.0,20.12,8.78,13.75,0.0,0.0
Ali Khan,2.0,2.0,1.0,14.0,8.0,14.0,175.0,0.0,0.0,1.0,1.0,6.0,21.17,127.0,190.0,3.0,63.33,8.98,42.33,0.0,0.0
Amir Ali,2.0,2.0,0.0,36.0,20.0,18.0,180.0,0.0,0.0,6.0,1.0,2.0,5.17,31.0,37.0,0.0,,7.16,,0.0,0.0
Anshuman Rath,1.0,1.0,0.0,21.0,23.0,21.0,91.3,0.0,0.0,0.0,0.0,,,,,,,,,,
Aqib Ilyas,7.0,8.0,2.0,142.0,121.0,23.67,117.36,0.0,1.0,14.0,6.0,6.0,19.0,114.0,136.0,2.0,68.0,7.16,57.0,0.0,0.0
Arafat Sunny,1.0,1.0,1.0,8.0,4.0,,200.0,0.0,0.0,0.0,1.0,2.0,6.0,36.0,45.0,2.0,22.5,7.5,18.0,0.0,0.0
Arshdeep Singh,3.0,3.0,2.0,12.0,15.0,12.0,80.0,0.0,0.0,1.0,0.0,13.0,49.0,294.0,348.0,24.0,14.5,7.1,12.25,1.0,0.0
Aryan Lakra,1.0,1.0,0.0,1.0,3.0,1.0,33.33,0.0,0.0,0.0,0.0,1.0,3.0,18.0,24.0,1.0,24.0,8.0,18.0,0.0,0.0
Asif Ali,4.0,4.0,2.0,34.0,20.0,17.0,170.0,0.0,0.0,1.0,3.0,,,,,,,,,,
Ayan Khan,5.0,5.0,1.0,102.0,108.0,25.5,94.44,0.0,0.0,6.0,3.0,2.0,3.17,19.0,33.0,1.0,33.0,10.42,19.0,0.0,0.0
Azam Khan,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
B Evans,2.0,2.0,0.0,21.0,17.0,10.5,123.53,0.0,0.0,0.0,1.0,2.0,7.17,43.0,59.0,2.0,29.5,8.23,21.5,0.0,0.0
B Fernando,,,,,,,,,,,,5.0,14.33,86.0,119.0,5.0,23.8,8.3,17.2,0.0,0.0
B Kumar,2.0,2.0,2.0,9.0,10.0,,90.0,0.0,0.0,0.0,0.0,7.0,23.0,138.0,144.0,4.0,36.0,6.26,34.5,0.0,0.0
B Masaba,3.0,3.0,2.0,4.0,25.0,4.0,16.0,0.0,0.0,0.0,0.0,2.0,8.33,50.0,48.0,3.0,16.0,5.76,16.67,0.0,0.0
B Muzarabani,4.0,4.0,3.0,2.0,12.0,2.0,16.67,0.0,0.0,0.0,0.0,7.0,27.33,164.0,220.0,12.0,18.33,8.05,13.67,0.0,0.0
B Shikongo,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.17,49.0,87.0,3.0,29.0,10.65,16.33,0.0,0.0
B White,2.0,2.0,2.0,7.0,24.0,,29.17,0.0,0.0,0.0,0.0,3.0,6.17,37.0,44.0,2.0,22.0,7.14,18.5,0.0,0.0
BA King,6.0,6.0,1.0,158.0,125.0,31.6,126.4,0.0,1.0,21.0,3.0,,,,,,,,,,
BA Stokes,8.0,8.0,3.0,157.0,125.0,31.4,125.6,0.0,1.0,11.0,4.0,10.0,30.17,181.0,250.0,7.0,35.71,8.29,25.86,0.0,0.0
BD Glover,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,15.67,94.0,94.0,9.0,10.44,6.0,10.44,0.0,0.0
BFW de Leede,14.0,14.0,3.0,120.0,164.0,10.91,73.17,0.0,0.0,9.0,1.0,12.0,38.67,232.0,308.0,16.0,19.25,7.97,14.5,0.0,0.0
BJ Currie,,,,,,,,,,,,1.0,4.0,24.0,16.0,2.0,8.0,4.0,12.0,0.0,0.0
BJ McCarthy,8.0,8.0,4.0,40.0,49.0,10.0,81.63,0.0,0.0,1.0,2.0,10.0,37.0,222.0,287.0,10.0,28.7,7.76,22.2,0.0,0.0
