match_id,inning_no,batting_team,bowling_team,over,ball_in_over,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,is_wicket,wicket_player_out,wicket_kind,wicket_fielder,extras_type,commentary_short,commentary
1415721,2,Bangladesh,South Africa,15,6,Mahmudullah,A Nortje,Towhid Hridoy,0,1,1,0,,,,wides,"Nortje to Mahmudullah, no run, end of a terrific spell from Anrich Nortje - Mahmudullah hangs back and taps the length d","Nortje to Mahmudullah, no run, end of a terrific spell from Anrich Nortje - Mahmudullah hangs back and taps the length delivery to backward point"
1415721,2,Bangladesh,South Africa,15,7,Mahmudullah,A Nortje,Towhid Hridoy,0,0,0,0,,,,,"Nortje to Mahmudullah, , I0$ back of a length slipping down leg, Mahmudullah flicks and misses","Nortje to Mahmudullah, , I0$ back of a length slipping down leg, Mahmudullah flicks and misses"
1415721,2,Bangladesh,South Africa,16,1,Towhid Hridoy,OEG Baartman,Mahmudullah,1,0,1,0,,,,,"Ottneil Baartman to Towhid Hridoy, 1 run, length just outside off, Hridoy punches to the right of mid-on","Ottneil Baartman to Towhid Hridoy, 1 run, length just outside off, Hridoy punches to the right of mid-on"
1415721,2,Bangladesh,South Africa,16,2,Mahmudullah,OEG Baartman,Towhid Hridoy,0,0,0,0,,,,,"Ottneil Baartman to Mahmudullah, no run, huge round off boos from the Bangladesh fans. Perhaps for two reasons. 1) It wa","Ottneil Baartman to Mahmudullah, no run, huge round off boos from the Bangladesh fans. Perhaps for two reasons. 1) It was a wrong decision from the umpire. 2) The ball had gone to the fine leg fence but none counted because the ball's dead soon after the umpire's verdict. Ottneil Baartman saw Mahmudullah shuffling across and slipped in a full delivery on the stumps, Mahmudullah misses the flick and the ball runs away to the fine leg fence after brushing the front pad"
1415721,2,Bangladesh,South Africa,16,3,Mahmudullah,OEG Baartman,Towhid Hridoy,1,0,1,0,,,,,"Ottneil Baartman to Mahmudullah, 1 run, full and straight, Mahmudullah flicks to the right of long-on","Ottneil Baartman to Mahmudullah, 1 run, full and straight, Mahmudullah flicks to the right of long-on"
1415721,2,Bangladesh,South Africa,16,4,Towhid Hridoy,OEG Baartman,Mahmudullah,4,0,4,0,,,,,"Ottneil Baartman to Towhid Hridoy, , hammered. Ottneil Baartman goes very full outside off and Hridoy slams the drive wi","Ottneil Baartman to Towhid Hridoy, , hammered. Ottneil Baartman goes very full outside off and Hridoy slams the drive with plenty of bottom hand power through extra cover. No stopping that one..."
1415721,2,Bangladesh,South Africa,16,5,Towhid Hridoy,OEG Baartman,Mahmudullah,1,0,1,0,,,,,"Ottneil Baartman to Towhid Hridoy, 1 run, full at the stumps, flicked away to the right of mid-wicket","Ottneil Baartman to Towhid Hridoy, 1 run, full at the stumps, flicked away to the right of mid-wicket"
1415721,2,Bangladesh,South Africa,16,6,Mahmudullah,OEG Baartman,Towhid Hridoy,0,0,0,0,,,,,"Ottneil Baartman to Mahmudullah, no run, full on off, Mahmudullah forces the drive to mid-off","Ottneil Baartman to Mahmudullah, no run, full on off, Mahmudullah forces the drive to mid-off"
1415721,2,Bangladesh,South Africa,17,1,Towhid Hridoy,K Rabada,Mahmudullah,0,0,0,1,Towhid Hridoy,lbw,,,"Rabada to Towhid Hridoy, Lbw!! Is this the luck South Africa wanted? Only time will tell. Wobble seam length delivery fr","Rabada to Towhid Hridoy, Lbw!! Is this the luck South Africa wanted? Only time will tell. Wobble seam length delivery from Rabada, Towhid Hridoy plays all around it and misses it completely. Well past the inside edge and pins him in front of middle stump. There was perhaps a half-appeal from Rabada and none of the fielders joined the chorus, but umpire Richard Illingworth was very certain."
1415721,2,Bangladesh,South Africa,17,2,Jaker Ali,K Rabada,Mahmudullah,0,0,0,0,,,,,"Rabada to Jaker Ali, no run, on a length outside off, Jaker Ali opens the bat face and pushes it to backward point","Rabada to Jaker Ali, no run, on a length outside off, Jaker Ali opens the bat face and pushes it to backward point"
