batter,bowler,balls,runs_scored,wickets,cnt_0,cnt_1,cnt_2,cnt_3,cnt_4,cnt_6,prob_0,prob_1,prob_2,prob_3,prob_4,prob_6,prob_W,expected_runs,strike_rate
A Balbirnie,R Ngarava,3,3,0,1,1,1,0,0,0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,1.0,100.0
A Balbirnie,R Trumpelmann,4,3,0,2,1,1,0,0,0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.75,75.0
A Balbirnie,SM Curran,5,10,0,2,0,2,0,0,1,0.4,0.0,0.4,0.0,0.0,0.2,0.0,2.0,200.0
A Balbirnie,Shaheen Shah Afridi,3,0,1,3,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0
A Balbirnie,TA Boult,4,6,0,3,0,0,0,0,1,0.75,0.0,0.0,0.0,0.0,0.25,0.0,1.5,150.0
A Balbirnie,TG Southee,4,2,0,2,2,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
A Bohara,LV van Beek,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Bohara,Shakib Al Hasan,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Dutt,M Pathirana,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Dutt,Mustafizur Rahman,3,2,0,2,0,1,0,0,0,0.6667,0.0,0.3333,0.0,0.0,0.0,0.0,0.6667,66.67
A Dutt,N Thushara,3,3,0,0,3,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
A Dutt,PWH de Silva,4,7,0,0,3,0,0,1,0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,1.75,175.0
A Dutt,Rishad Hossain,5,7,0,3,1,0,0,0,1,0.6,0.2,0.0,0.0,0.0,0.2,0.0,1.4,140.0
A Dutt,Taskin Ahmed,4,6,0,1,2,0,0,1,0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,1.5,150.0
A Johnson,Ali Khan,8,16,0,4,0,0,0,4,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,2.0,200.0
A Johnson,CA Young,5,0,1,5,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
A Johnson,Haris Rauf,9,10,0,4,4,0,0,0,1,0.4444,0.4444,0.0,0.0,0.0,0.1111,0.0,1.1111,111.11
A Johnson,Harmeet Singh,3,1,1,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.3333,0.3333,33.33
A Johnson,Imad Wasim,12,15,0,7,3,0,0,0,2,0.5833,0.25,0.0,0.0,0.0,0.1667,0.0,1.25,125.0
A Johnson,J Little,3,9,0,0,1,0,0,2,0,0.0,0.3333,0.0,0.0,0.6667,0.0,0.0,3.0,300.0
A Johnson,Jasdeep Singh,3,1,0,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,33.33
A Johnson,MR Adair,5,5,0,3,1,0,0,1,0,0.6,0.2,0.0,0.0,0.2,0.0,0.0,1.0,100.0
A Johnson,Mohammad Amir,2,0,0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Johnson,Naseem Shah,14,11,1,10,1,1,0,2,0,0.7143,0.0714,0.0714,0.0,0.1429,0.0,0.0714,0.7857,78.57
A Johnson,SN Netravalkar,2,5,0,0,1,0,0,1,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,2.5,250.0
A Johnson,Shaheen Shah Afridi,7,16,0,3,0,1,0,2,1,0.4286,0.0,0.1429,0.0,0.2857,0.1429,0.0,2.2857,228.57
A Nao,B Masaba,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
A Nao,C Kyewuta,3,3,0,1,1,1,0,0,0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,1.0,100.0
A Nao,IS Sodhi,3,1,1,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.3333,0.3333,33.33
A Nao,J Miyaji,2,1,1,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,50.0
A Nao,TA Boult,2,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
A Nao,TG Southee,2,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
A Nehra,AF Milne,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Nehra,IS Sodhi,3,0,0,3,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nortje,BFW de Leede,1,4,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,400.0
A Nortje,HH Pandya,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
A Nortje,Haris Rauf,3,1,1,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.3333,0.3333,33.33
A Nortje,MA Starc,2,2,1,1,0,1,0,0,0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,1.0,100.0
A Nortje,Naseem Shah,2,0,0,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Nortje,PJ Cummins,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Sharafu,D Wiese,3,3,1,1,1,1,0,0,0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.3333,1.0,100.0
A Sharafu,R Trumpelmann,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
A Vala,AC Evans,8,16,1,4,0,0,0,4,0,0.5,0.0,0.0,0.0,0.5,0.0,0.125,2.0,200.0
A Vala,AJ Hosein,8,2,0,7,0,1,0,0,0,0.875,0.0,0.125,0.0,0.0,0.0,0.0,0.25,25.0
A Vala,AR Ramjani,2,0,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
A Vala,AS Joseph,6,8,1,4,0,0,0,2,0,0.6667,0.0,0.0,0.0,0.3333,0.0,0.1667,1.3333,133.33
A Vala,Aqib Ilyas,14,15,0,5,7,1,0,0,1,0.3571,0.5,0.0714,0.0,0.0,0.0714,0.0,1.0714,107.14
A Vala,BTJ Wheal,1,1,0,0,1,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
A Vala,Bilal Khan,4,1,0,3,1,0,0,0,0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.25,25.0
A Vala,JH Davey,2,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
A Vala,Kaleemullah,7,8,1,5,0,0,0,2,0,0.7143,0.0,0.0,0.0,0.2857,0.0,0.1429,1.1429,114.29
A Vala,Khawar Ali,8,13,0,1,5,1,0,0,1,0.125,0.625,0.125,0.0,0.0,0.125,0.0,1.625,162.5
A Vala,LH Ferguson,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
A Vala,Mohammad Nadeem,8,9,0,3,3,1,0,1,0,0.375,0.375,0.125,0.0,0.125,0.0,0.0,1.125,112.5
A Vala,Mohammad Saifuddin,5,4,0,1,4,0,0,0,0,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.8,80.0
A Vala,Mustafizur Rahman,2,2,0,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
A Vala,R Shepherd,2,3,0,1,0,0,1,0,0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,1.5,150.0
A Vala,RL Chase,6,8,0,3,2,0,0,0,1,0.5,0.3333,0.0,0.0,0.0,0.1667,0.0,1.3333,133.33
A Vala,TA Boult,10,5,0,8,1,0,0,1,0,0.8,0.1,0.0,0.0,0.1,0.0,0.0,0.5,50.0
A Vala,TG Southee,5,1,0,4,1,0,0,0,0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.2,20.0
A Vala,Taskin Ahmed,2,0,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
A Vala,Zeeshan Maqsood,2,10,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.5,0.5,0.0,5.0,500.0
A Zampa,CJ Anderson,1,2,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,200.0
A Zampa,CJ Jordan,3,1,0,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,33.33
A Zampa,TA Boult,2,0,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
A Zampa,TS Mills,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AB de Villiers,AD Russell,2,4,0,1,0,0,0,1,0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,2.0,200.0
AB de Villiers,AU Rashid,6,14,1,3,0,1,0,0,2,0.5,0.0,0.1667,0.0,0.0,0.3333,0.1667,2.3333,233.33
AB de Villiers,CR Brathwaite,5,2,0,3,2,0,0,0,0,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.4,40.0
AB de Villiers,DJ Bravo,2,1,1,1,1,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.5,50.0
AB de Villiers,JDF Vandersay,2,2,0,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
AB de Villiers,MD Shanaka,3,8,0,0,2,0,0,0,1,0.0,0.6667,0.0,0.0,0.0,0.3333,0.0,2.6667,266.67
AB de Villiers,MM Ali,2,2,0,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
AB de Villiers,NLTC Perera,2,2,0,0,2,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
AB de Villiers,RAS Lakmal,2,6,0,1,0,0,0,0,1,0.5,0.0,0.0,0.0,0.0,0.5,0.0,3.0,300.0
AB de Villiers,SJ Benn,3,3,0,1,1,1,0,0,0,0.3333,0.3333,0.3333,0.0,0.0,0.0,0.0,1.0,100.0
AB de Villiers,TAM Siriwardana,3,2,0,1,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.6667,66.67
AC Agar,AU Rashid,4,1,0,3,1,0,0,0,0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.25,25.0
AC Agar,CJ Jordan,3,2,0,1,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.0,0.6667,66.67
AC Agar,CR Woakes,4,13,0,1,1,0,0,0,2,0.25,0.25,0.0,0.0,0.0,0.5,0.0,3.25,325.0
AC Agar,IS Sodhi,4,2,0,2,2,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
AC Agar,LS Livingstone,6,2,0,4,2,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.3333,33.33
AC Agar,MJ McClenaghan,2,0,1,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
AC Agar,MJ Santner,2,7,0,0,1,0,0,0,1,0.0,0.5,0.0,0.0,0.0,0.5,0.0,3.5,350.0
AC Agar,TS Mills,3,2,1,1,2,0,0,0,0,0.3333,0.6667,0.0,0.0,0.0,0.0,0.3333,0.6667,66.67
AC Evans,DT Tiripano,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC Evans,Mohammed Shami,1,0,1,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AD Hales,AD Russell,3,1,1,2,1,0,0,0,0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.3333,0.3333,33.33
AD Hales,AF Milne,4,7,0,0,3,0,0,1,0,0.0,0.75,0.0,0.0,0.25,0.0,0.0,1.75,175.0
AD Hales,AR Patel,15,18,0,7,6,0,0,0,2,0.4667,0.4,0.0,0.0,0.0,0.1333,0.0,1.2,120.0
AD Hales,Arshdeep Singh,5,8,0,0,4,0,0,1,0,0.0,0.8,0.0,0.0,0.2,0.0,0.0,1.6,160.0
AD Hales,B Kumar,5,11,0,1,1,2,0,0,1,0.2,0.2,0.4,0.0,0.0,0.2,0.0,2.2,220.0
AD Hales,CAK Rajitha,10,30,0,2,0,2,0,5,1,0.2,0.0,0.2,0.0,0.5,0.1,0.0,3.0,300.0
AD Hales,CBRLS Kumara,4,9,0,1,1,0,0,2,0,0.25,0.25,0.0,0.0,0.5,0.0,0.0,2.25,225.0
AD Hales,CR Brathwaite,3,5,0,1,1,0,0,1,0,0.3333,0.3333,0.0,0.0,0.3333,0.0,0.0,1.6667,166.67
AD Hales,DJ Bravo,4,4,0,2,1,0,1,0,0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,1.0,100.0
AD Hales,DM de Silva,4,3,0,2,1,1,0,0,0,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.75,75.0
AD Hales,DW Steyn,4,13,0,0,1,0,0,3,0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,3.25,325.0
AD Hales,GD Elliott,4,2,0,2,2,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,50.0
AD Hales,HH Pandya,7,13,0,2,2,1,1,0,1,0.2857,0.2857,0.1429,0.1429,0.0,0.1429,0.0,1.8571,185.71
