batter,bowler,balls_with_commentary,avg_sentiment_score,boundary_pct,dot_pct,dominant_pct,controlled_pct,mistimed_pct,beaten_pct,defensive_pct,pressure_index
A Johnson,Ali Khan,5,0.2,0.4,0.6,0.4,0.0,0.0,0.2,0.4,-0.2
A Johnson,CA Young,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Johnson,Haris Rauf,7,0.2857,0.0,0.5714,0.0,0.5714,0.0,0.0,0.4286,0.0
A Johnson,Harmeet Singh,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Johnson,Imad Wasim,11,0.0909,0.0909,0.6364,0.0,0.2727,0.0909,0.0,0.6364,0.0909
A Johnson,J Little,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Johnson,Jasdeep Singh,3,-0.1667,0.0,0.6667,0.0,0.3333,0.0,0.3333,0.3333,0.3333
A Johnson,MR Adair,4,-0.125,0.0,0.75,0.0,0.25,0.0,0.25,0.5,0.25
A Johnson,Mohammad Amir,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Johnson,Naseem Shah,12,0.1667,0.0,0.8333,0.0833,0.1667,0.0,0.0,0.75,-0.0833
A Johnson,SN Netravalkar,2,0.75,0.5,0.0,0.5,0.5,0.0,0.0,0.0,-0.5
A Johnson,Shaheen Shah Afridi,4,0.25,0.0,0.75,0.0,0.5,0.0,0.0,0.5,0.0
A Nao,B Masaba,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Nao,C Kyewuta,3,0.0,0.0,0.3333,0.0,0.6667,0.0,0.3333,0.0,0.3333
A Nao,IS Sodhi,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Nao,J Miyaji,2,-0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
A Nao,TA Boult,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Nao,TG Southee,2,0.25,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0
A Nortje,BFW de Leede,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
A Nortje,HH Pandya,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Nortje,Haris Rauf,2,-0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
A Nortje,MA Starc,2,-0.25,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
A Nortje,Naseem Shah,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
A Nortje,PJ Cummins,1,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
A Sharafu,D Wiese,2,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Sharafu,R Trumpelmann,1,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
A Vala,AC Evans,7,0.2143,0.4286,0.5714,0.4286,0.0,0.4286,0.0,0.1429,0.0
A Vala,AJ Hosein,8,-0.125,0.0,0.875,0.0,0.25,0.0,0.25,0.5,0.25
